cell_id,cafe,pharmacy,restaurant,supermarket,avg_rating,avg_reviews,population_sum,population_mean,activity_vibrancy,quality_gap
201,2.0,1.0,2.0,0.0,2.68,2.8,141.0,4.71,1.33500106673234,3.0972024748190283
202,0.0,0.0,0.0,1.0,4.3,4.0,117.0,3.25,1.6094379124341003,1.1266065387038704
203,3.0,1.0,2.0,1.0,2.1714285714285717,3.0,23.0,0.64,1.3862943611198906,3.9212326214534046
204,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.29,0.0,2.0
205,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.91,0.0,2.0
207,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.8,0.0,2.0
208,0.0,0.0,0.0,0.0,0.0,0.0,422.0,11.73,0.0,2.0
209,0.0,0.0,0.0,0.0,0.0,0.0,186.0,7.15,0.0,2.0
210,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.87,0.0,2.0
211,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.64,0.0,2.0
212,0.0,0.0,0.0,1.0,5.0,2.0,57.0,1.59,1.0986122886681096,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.35,0.0,2.0
215,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.48,0.0,2.0
217,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.98,0.0,2.0
218,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.93,0.0,2.0
220,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.76,0.0,2.0
221,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.87,0.0,2.0
222,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.67,0.0,2.0
223,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.3,0.0,2.0
224,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.61,0.0,2.0
225,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.28,0.0,2.0
226,0.0,0.0,0.0,1.0,3.9,13.0,24.0,3.47,2.639057329615259,2.902963062576785
227,1.0,0.0,1.0,1.0,4.333333333333333,17.666666666666668,128.0,4.58,2.9267394020670396,1.9511596013780272
228,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.87,0.0,2.0
229,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7.72,0.0,2.0
230,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.49,0.0,2.0
